salesid,gamename,platform,year_of_release,genre,developer,na_sales,eu_sales,jp_sales,other_sales,global_sales,salesyear
11600,Dance Dance Revolution Ultramix 2,XB,2004,Simulation,Konami Digital Entertainment,0.01,0.01,0.01,0.01,0.04,2010
11601,Dance Dance Revolution Ultramix 2,XB,2004,Simulation,Konami Digital Entertainment,0.01,0.01,0.01,0.01,0.04,2019
11602,Mega Man Anniversary Collection,GC,2004,Platform,Capcom,0.01,0.01,0.01,0.01,0.04,2014
11603,Crash: Mind Over Mutant,DS,2008,Platform,Vivendi Games,0.01,0.01,0.01,0.01,0.04,2010
11604,Crash: Mind Over Mutant,DS,2008,Platform,Vivendi Games,0.01,0.01,0.01,0.01,0.04,2015
11605,Crash: Mind Over Mutant,DS,2008,Platform,Vivendi Games,0.01,0.01,0.01,0.01,0.04,2016
11606,Super Famista 4,SNES,1995,Sports,Namco Bandai Games,0.01,0.01,0.01,0.01,0.04,2016
11607,The Fairly Odd Parents: Game Boy Advance Video Volume 2,GBA,2004,Misc,,0.01,0.01,0.01,0.01,0.04,2009
11608,The Fairly Odd Parents: Game Boy Advance Video Volume 2,GBA,2004,Misc,,0.01,0.01,0.01,0.01,0.04,2016
11609,How to Train Your Dragon,Wii,2010,Action,Activision,0.01,0.01,0.01,0.01,0.04,2010
11610,How to Train Your Dragon,Wii,2010,Action,Activision,0.01,0.01,0.01,0.01,0.04,2017
11611,Cabela's Legendary Adventures,PS2,2008,Sports,Activision,0.01,0.01,0.01,0.01,0.04,2017
11612,Story of Seasons,3DS,2014,Simulation,Nintendo,0.01,0.01,0.01,0.01,0.04,2015
11613,Story of Seasons,3DS,2014,Simulation,Nintendo,0.01,0.01,0.01,0.01,0.04,2017
11614,Story of Seasons,3DS,2014,Simulation,Nintendo,0.01,0.01,0.01,0.01,0.04,2019
11615,Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,DS,2010,Misc,Namco Bandai Games,0.01,0.01,0.01,0.01,0.04,2011
11616,Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,DS,2010,Misc,Namco Bandai Games,0.01,0.01,0.01,0.01,0.04,2021
11617,Harry Potter and the Goblet of Fire,GC,2005,Action,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2008
11618,Harry Potter and the Goblet of Fire,GC,2005,Action,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2015
11619,Thrillville: Off the Rails,PS2,2007,Strategy,LucasArts,0.01,0.01,0.01,0.01,0.04,2012
11620,Thrillville: Off the Rails,PS2,2007,Strategy,LucasArts,0.01,0.01,0.01,0.01,0.04,2014
11621,Metro: Last Light,PS3,2013,Action,Deep Silver,0.01,0.01,0.01,0.01,0.04,2013
11622,Metro: Last Light,PS3,2013,Action,Deep Silver,0.01,0.01,0.01,0.01,0.04,2015
11623,Metro: Last Light,PS3,2013,Action,Deep Silver,0.01,0.01,0.01,0.01,0.04,2017
11624,Metro: Last Light,PS3,2013,Action,Deep Silver,0.01,0.01,0.01,0.01,0.04,2019
11625,NBA 2K11,PSP,2010,Action,Take-Two Interactive,0.01,0.01,0.01,0.01,0.04,2010
11626,NBA 2K11,PSP,2010,Action,Take-Two Interactive,0.01,0.01,0.01,0.01,0.04,2016
11627,NBA 2K11,PSP,2010,Action,Take-Two Interactive,0.01,0.01,0.01,0.01,0.04,2018
11628,Mega Man X6,PS,2001,Action,Capcom,0.01,0.01,0.01,0.01,0.04,2002
11629,BloodRayne,PS2,2002,Shooter,Universal Interactive,0.01,0.01,0.01,0.01,0.04,2007
11630,BloodRayne,PS2,2002,Shooter,Universal Interactive,0.01,0.01,0.01,0.01,0.04,2016
11631,Kumamon Bomber: Puzzle de Kumamon Taisou,GC,2005,Puzzle,Sega,0.01,0.01,0.01,0.01,0.04,2017
11632,Castlevania: Curse of Darkness,PS2,2005,Action,Konami Digital Entertainment,0.01,0.01,0.01,0.01,0.04,2010
11633,Castlevania: Curse of Darkness,PS2,2005,Action,Konami Digital Entertainment,0.01,0.01,0.01,0.01,0.04,2014
11634,NBA 2K13,Wii,2012,Sports,Take-Two Interactive,0.01,0.01,0.01,0.01,0.04,2012
11635,NBA 2K13,Wii,2012,Sports,Take-Two Interactive,0.01,0.01,0.01,0.01,0.04,2015
11636,NBA 2K13,Wii,2012,Sports,Take-Two Interactive,0.01,0.01,0.01,0.01,0.04,2016
11637,NBA 2K13,Wii,2012,Sports,Take-Two Interactive,0.01,0.01,0.01,0.01,0.04,2019
11638,International Superstar Soccer Pro '98,PS,1998,Sports,Konami Digital Entertainment,0.01,0.01,0.01,0.01,0.04,2014
11639,LEGO Rock Band,PS3,2009,Misc,Warner Bros. Interactive Entertainment,0.01,0.01,0.01,0.01,0.04,2009
11640,LEGO Rock Band,PS3,2009,Misc,Warner Bros. Interactive Entertainment,0.01,0.01,0.01,0.01,0.04,2013
11641,LEGO Rock Band,PS3,2009,Misc,Warner Bros. Interactive Entertainment,0.01,0.01,0.01,0.01,0.04,2015
11642,LEGO Rock Band,PS3,2009,Misc,Warner Bros. Interactive Entertainment,0.01,0.01,0.01,0.01,0.04,2018
11643,Jimmy Neutron: Boy Genius,GBA,2001,Platform,THQ,0.01,0.01,0.01,0.01,0.04,2007
11644,Jimmy Neutron: Boy Genius,GBA,2001,Platform,THQ,0.01,0.01,0.01,0.01,0.04,2013
11645,Black,XB,2006,Shooter,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2007
11646,Black,XB,2006,Shooter,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2013
11647,Black,XB,2006,Shooter,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2015
11648,Black,XB,2006,Shooter,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2019
11649,Double Pack: Finding Nemo / The Incredibles,XB,2006,Action,THQ,0.01,0.01,0.01,0.01,0.04,2013
11650,Double Pack: Finding Nemo / The Incredibles,XB,2006,Action,THQ,0.01,0.01,0.01,0.01,0.04,2015
11651,Spec Ops: The Line,X360,2012,Shooter,Take-Two Interactive,0.01,0.01,0.01,0.01,0.04,2016
11652,Spec Ops: The Line,X360,2012,Shooter,Take-Two Interactive,0.01,0.01,0.01,0.01,0.04,2017
11653,NHL Slapshot,Wii,,Sports,Unknown,0.01,0.01,0.01,0.01,0.04,2008
11654,NHL Slapshot,Wii,,Sports,Unknown,0.01,0.01,0.01,0.01,0.04,2016
11655,Paper Mario: Color Splash,WiiU,2016,Role-Playing,Nintendo,0.01,0.01,0.01,0.01,0.04,2021
11656,Valkyrie Profile: Covenant of the Plume,DS,2008,Role-Playing,Square Enix,0.01,0.01,0.01,0.01,0.04,2013
11657,Valkyrie Profile: Covenant of the Plume,DS,2008,Role-Playing,Square Enix,0.01,0.01,0.01,0.01,0.04,2017
11658,Vanquish,X360,2010,Shooter,Sega,0.01,0.01,0.01,0.01,0.04,2013
11659,Vanquish,X360,2010,Shooter,Sega,0.01,0.01,0.01,0.01,0.04,2018
11660,Solitaire Overload,DS,2007,Misc,Telegames,0.01,0.01,0.01,0.01,0.04,2007
11661,Solitaire Overload,DS,2007,Misc,Telegames,0.01,0.01,0.01,0.01,0.04,2011
11662,Solitaire Overload,DS,2007,Misc,Telegames,0.01,0.01,0.01,0.01,0.04,2015
11663,Solitaire Overload,DS,2007,Misc,Telegames,0.01,0.01,0.01,0.01,0.04,2018
11664,TRON: Evolution,PS3,2010,Action,Disney Interactive Studios,0.01,0.01,0.01,0.01,0.04,2011
11665,TRON: Evolution,PS3,2010,Action,Disney Interactive Studios,0.01,0.01,0.01,0.01,0.04,2014
11666,TRON: Evolution,PS3,2010,Action,Disney Interactive Studios,0.01,0.01,0.01,0.01,0.04,2017
11667,TRON: Evolution,PS3,2010,Action,Disney Interactive Studios,0.01,0.01,0.01,0.01,0.04,2021
11668,Lord of the Rings: The Third Age,XB,2004,Role-Playing,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2004
11669,Lord of the Rings: The Third Age,XB,2004,Role-Playing,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2010
11670,Lord of the Rings: The Third Age,XB,2004,Role-Playing,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2016
11729,Crash of the Titans,PS2,2007,Action,Vivendi Games,0.01,0.01,0.01,0.01,0.04,2007
11671,Pirates of the Caribbean: At World's End,PS2,2007,Action,Disney Interactive Studios,0.01,0.01,0.01,0.01,0.04,2011
11672,Mega Man Legends 2,PS,2000,Adventure,Capcom,0.01,0.01,0.01,0.01,0.04,2007
11673,X-Men vs. Street Fighter,PS,1997,Fighting,Capcom,0.01,0.01,0.01,0.01,0.04,1999
11674,Blazing Angels: Squadrons of WWII,X360,2006,Simulation,Ubisoft,0.01,0.01,0.01,0.01,0.04,2007
11675,Blazing Angels: Squadrons of WWII,X360,2006,Simulation,Ubisoft,0.01,0.01,0.01,0.01,0.04,2014
11676,Blazing Angels: Squadrons of WWII,X360,2006,Simulation,Ubisoft,0.01,0.01,0.01,0.01,0.04,2019
11677,Zack & Wiki: Quest for Barbaros' Treasure,Wii,2007,Adventure,Nintendo,0.01,0.01,0.01,0.01,0.04,2010
11678,High Rollers Casino,PS2,2004,Misc,Mud Duck Productions,0.01,0.01,0.01,0.01,0.04,2010
11679,TERA,PC,,Role-Playing,Unknown,0.01,0.01,0.01,0.01,0.04,1999
11680,TERA,PC,,Role-Playing,Unknown,0.01,0.01,0.01,0.01,0.04,2012
11681,TERA,PC,,Role-Playing,Unknown,0.01,0.01,0.01,0.01,0.04,2014
11682,Attack on Titan: Humanity in Chains,3DS,2013,Action,Screenlife,0.01,0.01,0.01,0.01,0.04,2021
11683,The Suffering,PS2,2004,Action,Midway Games,0.01,0.01,0.01,0.01,0.04,2005
11684,The Suffering,PS2,2004,Action,Midway Games,0.01,0.01,0.01,0.01,0.04,2015
11685,The Suffering,PS2,2004,Action,Midway Games,0.01,0.01,0.01,0.01,0.04,2021
11686,Cyber Troopers Virtual-On,SAT,1995,Fighting,Sega,0.01,0.01,0.01,0.01,0.04,1996
11687,Cyber Troopers Virtual-On,SAT,1995,Fighting,Sega,0.01,0.01,0.01,0.01,0.04,2001
11688,Cyber Troopers Virtual-On,SAT,1995,Fighting,Sega,0.01,0.01,0.01,0.01,0.04,2008
11689,Cyber Troopers Virtual-On,SAT,1995,Fighting,Sega,0.01,0.01,0.01,0.01,0.04,2013
11690,Star Wars Starfighter: Special Edition,XB,2001,Simulation,LucasArts,0.01,0.01,0.01,0.01,0.04,2008
11691,Star Wars Starfighter: Special Edition,XB,2001,Simulation,LucasArts,0.01,0.01,0.01,0.01,0.04,2016
11692,Animal Crossing: Amiibo Festival,WiiU,2015,Misc,Nintendo,0.01,0.01,0.01,0.01,0.04,2019
11693,NBA Jam,PS2,2003,Sports,Acclaim Entertainment,0.01,0.01,0.01,0.01,0.04,2003
11694,NBA Jam,PS2,2003,Sports,Acclaim Entertainment,0.01,0.01,0.01,0.01,0.04,2009
11695,NBA Jam,PS2,2003,Sports,Acclaim Entertainment,0.01,0.01,0.01,0.01,0.04,2012
11696,NBA Jam,PS2,2003,Sports,Acclaim Entertainment,0.01,0.01,0.01,0.01,0.04,2016
11697,Zone of the Enders: The 2nd Runner,PS2,2003,Simulation,Konami Digital Entertainment,0.01,0.01,0.01,0.01,0.04,2008
11698,Zone of the Enders: The 2nd Runner,PS2,2003,Simulation,Konami Digital Entertainment,0.01,0.01,0.01,0.01,0.04,2012
11699,Zone of the Enders: The 2nd Runner,PS2,2003,Simulation,Konami Digital Entertainment,0.01,0.01,0.01,0.01,0.04,2020
11700,Just Dance 2014,PS4,2013,Misc,Ubisoft,0.01,0.01,0.01,0.01,0.04,2015
11701,Just Dance 2014,PS4,2013,Misc,Ubisoft,0.01,0.01,0.01,0.01,0.04,2018
11702,Just Dance 2014,PS4,2013,Misc,Ubisoft,0.01,0.01,0.01,0.01,0.04,2020
11703,Jampack Spring 2004 (RP-T),PS2,2003,Misc,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2008
11704,Jampack Spring 2004 (RP-T),PS2,2003,Misc,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2014
11705,Jampack Spring 2004 (RP-T),PS2,2003,Misc,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2016
11706,Dexter's Laboratory Deesaster Strikes,GBA,2001,Adventure,BAM! Entertainment,0.01,0.01,0.01,0.01,0.04,2005
11707,Dexter's Laboratory Deesaster Strikes,GBA,2001,Adventure,BAM! Entertainment,0.01,0.01,0.01,0.01,0.04,2014
11708,Dexter's Laboratory Deesaster Strikes,GBA,2001,Adventure,BAM! Entertainment,0.01,0.01,0.01,0.01,0.04,2020
11709,NFL GameDay 2004,PS2,2003,Sports,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2005
11710,NFL GameDay 2004,PS2,2003,Sports,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2012
11711,Condemned: Criminal Origins,X360,2005,Action,Sega,0.01,0.01,0.01,0.01,0.04,2005
11712,Condemned: Criminal Origins,X360,2005,Action,Sega,0.01,0.01,0.01,0.01,0.04,2013
11713,Condemned: Criminal Origins,X360,2005,Action,Sega,0.01,0.01,0.01,0.01,0.04,2019
11714,Scooby-Doo and the Cyber Chase,GBA,2001,Adventure,Ubisoft,0.01,0.01,0.01,0.01,0.04,2003
11715,Scooby-Doo and the Cyber Chase,GBA,2001,Adventure,Ubisoft,0.01,0.01,0.01,0.01,0.04,2009
11716,Scooby-Doo and the Cyber Chase,GBA,2001,Adventure,Ubisoft,0.01,0.01,0.01,0.01,0.04,2012
11717,Scooby-Doo and the Cyber Chase,GBA,2001,Adventure,Ubisoft,0.01,0.01,0.01,0.01,0.04,2020
11718,Wheel of Fortune,DS,2010,Misc,THQ,0.01,0.01,0.01,0.01,0.04,2019
11719,Tomb Raider: The Last Revelation,PC,1998,Action,Eidos Interactive,0.01,0.01,0.01,0.01,0.04,2002
11720,Tomb Raider: The Last Revelation,PC,1998,Action,Eidos Interactive,0.01,0.01,0.01,0.01,0.04,2006
11721,Tomb Raider: The Last Revelation,PC,1998,Action,Eidos Interactive,0.01,0.01,0.01,0.01,0.04,2013
11722,Tomb Raider: The Last Revelation,PC,1998,Action,Eidos Interactive,0.01,0.01,0.01,0.01,0.04,2018
11723,pro evolution soccer 2011,PS2,2010,Sports,Konami Digital Entertainment,0.01,0.01,0.01,0.01,0.04,2011
11724,Sega Rally Championship 2,DC,1999,Racing,Sega,0.01,0.01,0.01,0.01,0.04,2000
11725,Sega Rally Championship 2,DC,1999,Racing,Sega,0.01,0.01,0.01,0.01,0.04,2004
11726,Sega Rally Championship 2,DC,1999,Racing,Sega,0.01,0.01,0.01,0.01,0.04,2009
11727,Sega Rally Championship 2,DC,1999,Racing,Sega,0.01,0.01,0.01,0.01,0.04,2017
11728,Quake II,PS,1998,Shooter,Activision,0.01,0.01,0.01,0.01,0.04,2017
11730,Crash of the Titans,PS2,2007,Action,Vivendi Games,0.01,0.01,0.01,0.01,0.04,2014
11731,EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2016
11732,EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2017
11733,EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2018
11734,EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2019
11735,MLB 10: The Show,PS2,2010,Sports,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2012
11736,MLB 10: The Show,PS2,2010,Sports,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2017
11737,Wheel of Fortune: 2nd Edition,PS,2000,Misc,Hasbro Interactive,0.01,0.01,0.01,0.01,0.04,2006
11738,Tom Clancy's Rainbow Six: Lockdown,XB,2005,Shooter,Ubisoft,0.01,0.01,0.01,0.01,0.04,2007
11739,Tom Clancy's Rainbow Six: Lockdown,XB,2005,Shooter,Ubisoft,0.01,0.01,0.01,0.01,0.04,2009
11740,Tom Clancy's Rainbow Six: Lockdown,XB,2005,Shooter,Ubisoft,0.01,0.01,0.01,0.01,0.04,2015
11741,Tom Clancy's Rainbow Six: Lockdown,XB,2005,Shooter,Ubisoft,0.01,0.01,0.01,0.01,0.04,2018
11742,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,PSP,2009,Fighting,Namco Bandai Games,0.01,0.01,0.01,0.01,0.04,2012
11743,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,PSP,2009,Fighting,Namco Bandai Games,0.01,0.01,0.01,0.01,0.04,2019
11744,TimeShift,X360,2007,Shooter,Vivendi Games,0.01,0.01,0.01,0.01,0.04,2008
11745,TimeShift,X360,2007,Shooter,Vivendi Games,0.01,0.01,0.01,0.01,0.04,2016
11746,Cool Boarders 2001,PS,2000,Sports,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2002
11747,Cool Boarders 2001,PS,2000,Sports,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2020
11748,Grudge Warriors,PS,1999,Action,Take-Two Interactive,0.01,0.01,0.01,0.01,0.04,2005
11749,Grudge Warriors,PS,1999,Action,Take-Two Interactive,0.01,0.01,0.01,0.01,0.04,2009
11750,Grudge Warriors,PS,1999,Action,Take-Two Interactive,0.01,0.01,0.01,0.01,0.04,2018
11751,Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.01,0.01,0.01,0.01,0.04,2016
11752,Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.01,0.01,0.01,0.01,0.04,2017
11753,Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.01,0.01,0.01,0.01,0.04,2018
11754,Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.01,0.01,0.01,0.01,0.04,2019
11755,World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,PS,2000,Sports,Konami Digital Entertainment,0.01,0.01,0.01,0.01,0.04,2006
11756,World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,PS,2000,Sports,Konami Digital Entertainment,0.01,0.01,0.01,0.01,0.04,2011
11757,Castlevania: The Dracula X Chronicles,PSP,2007,Platform,Konami Digital Entertainment,0.01,0.01,0.01,0.01,0.04,2014
11758,Mobile Suit Gundam,SAT,1995,Action,Namco Bandai Games,0.01,0.01,0.01,0.01,0.04,1998
11759,Mobile Suit Gundam,SAT,1995,Action,Namco Bandai Games,0.01,0.01,0.01,0.01,0.04,2016
11760,Tom Clancy's HAWX 2,PS3,2010,Action,Ubisoft,0.01,0.01,0.01,0.01,0.04,2012
11761,Tom Clancy's HAWX 2,PS3,2010,Action,Ubisoft,0.01,0.01,0.01,0.01,0.04,2013
11762,Tom Clancy's HAWX 2,PS3,2010,Action,Ubisoft,0.01,0.01,0.01,0.01,0.04,2016
11763,Tom Clancy's HAWX 2,PS3,2010,Action,Ubisoft,0.01,0.01,0.01,0.01,0.04,2021
11764,Battlefield: Hardline,PS3,2015,Shooter,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2016
11765,Battlefield: Hardline,PS3,2015,Shooter,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2017
11766,Battlefield: Hardline,PS3,2015,Shooter,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2019
11767,Jimmy Neutron: Boy Genius,PS2,2002,Platform,THQ,0.01,0.01,0.01,0.01,0.04,2010
11768,Jimmy Neutron: Boy Genius,PS2,2002,Platform,THQ,0.01,0.01,0.01,0.01,0.04,2017
11769,Itadaki Street DS,DS,2007,Misc,Square Enix,0.01,0.01,0.01,0.01,0.04,2013
11770,Itadaki Street DS,DS,2007,Misc,Square Enix,0.01,0.01,0.01,0.01,0.04,2014
11771,X-Men: The Official Game,PS2,2006,Action,Activision,0.01,0.01,0.01,0.01,0.04,2021
11772,Terraria,PS3,2013,Action,505 Games,0.01,0.01,0.01,0.01,0.04,2013
11773,Terraria,PS3,2013,Action,505 Games,0.01,0.01,0.01,0.01,0.04,2016
11774,Terraria,PS3,2013,Action,505 Games,0.01,0.01,0.01,0.01,0.04,2017
11775,Terraria,PS3,2013,Action,505 Games,0.01,0.01,0.01,0.01,0.04,2020
11776,LEGO Dimensions,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.01,0.01,0.01,0.01,0.04,2015
11777,LEGO Dimensions,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.01,0.01,0.01,0.01,0.04,2017
11778,LEGO Dimensions,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.01,0.01,0.01,0.01,0.04,2019
11779,Football Manager Handheld 2011,PSP,2010,Sports,Sega,0.01,0.01,0.01,0.01,0.04,2012
11780,Football Manager Handheld 2011,PSP,2010,Sports,Sega,0.01,0.01,0.01,0.01,0.04,2019
11781,300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,0.01,0.01,0.01,0.01,0.04,2009
11782,300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,0.01,0.01,0.01,0.01,0.04,2019
11783,Marvel Super Hero Squad,DS,2009,Fighting,THQ,0.01,0.01,0.01,0.01,0.04,2013
11784,Marvel Super Hero Squad,DS,2009,Fighting,THQ,0.01,0.01,0.01,0.01,0.04,2020
11785,Call of Duty: Modern Warfare: Mobilized,DS,2009,Shooter,Activision,0.01,0.01,0.01,0.01,0.04,2012
11786,Call of Duty: Modern Warfare: Mobilized,DS,2009,Shooter,Activision,0.01,0.01,0.01,0.01,0.04,2015
11787,NHL 15,XOne,2014,Sports,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2016
11788,NHL 15,XOne,2014,Sports,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2021
11789,E0: Enemy Zero,SAT,1996,Adventure,Sega,0.01,0.01,0.01,0.01,0.04,2005
11790,E0: Enemy Zero,SAT,1996,Adventure,Sega,0.01,0.01,0.01,0.01,0.04,2017
11791,Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,0.01,0.01,0.01,0.01,0.04,2017
11792,Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,0.01,0.01,0.01,0.01,0.04,2019
11793,Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,0.01,0.01,0.01,0.01,0.04,2020
11794,Yu-Gi-Oh! GX: Tag Force 2,PSP,2007,Strategy,Konami Digital Entertainment,0.01,0.01,0.01,0.01,0.04,2018
11795,Nicktoons: Unite!,PS2,2005,Adventure,THQ,0.01,0.01,0.01,0.01,0.04,2007
11796,Nicktoons: Unite!,PS2,2005,Adventure,THQ,0.01,0.01,0.01,0.01,0.04,2014
11797,Nicktoons: Unite!,PS2,2005,Adventure,THQ,0.01,0.01,0.01,0.01,0.04,2015
11798,JumpStart: Escape from Adventure Island,Wii,2009,Adventure,Knowledge Adventure,0.01,0.01,0.01,0.01,0.04,2013
11799,JumpStart: Escape from Adventure Island,Wii,2009,Adventure,Knowledge Adventure,0.01,0.01,0.01,0.01,0.04,2015
11800,Green Day: Rock Band,PS3,2010,Misc,MTV Games,0.01,0.01,0.01,0.01,0.04,2010
11801,Green Day: Rock Band,PS3,2010,Misc,MTV Games,0.01,0.01,0.01,0.01,0.04,2013
11802,Green Day: Rock Band,PS3,2010,Misc,MTV Games,0.01,0.01,0.01,0.01,0.04,2018
11803,Green Day: Rock Band,PS3,2010,Misc,MTV Games,0.01,0.01,0.01,0.01,0.04,2020
11804,NASCAR Racing,PS,1996,Racing,Pioneer LDC,0.01,0.01,0.01,0.01,0.04,2000
11805,NASCAR Racing,PS,1996,Racing,Pioneer LDC,0.01,0.01,0.01,0.01,0.04,2005
11806,NASCAR Racing,PS,1996,Racing,Pioneer LDC,0.01,0.01,0.01,0.01,0.04,2008
11807,NASCAR Racing,PS,1996,Racing,Pioneer LDC,0.01,0.01,0.01,0.01,0.04,2017
11808,FIFA 14,PSV,2013,Sports,Electronic Arts,0.01,0.01,0.01,0.01,0.04,2015
11809,Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,Wii,2009,Misc,Hudson Soft,0.01,0.01,0.01,0.01,0.04,2010
11810,Cars: Race-O-Rama,PSP,2009,Racing,THQ,0.01,0.01,0.01,0.01,0.04,2013
11811,Cars: Race-O-Rama,PSP,2009,Racing,THQ,0.01,0.01,0.01,0.01,0.04,2020
11812,Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,2002,Adventure,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2005
11813,Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,2002,Adventure,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2007
11814,Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,2002,Adventure,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2015
11815,Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,2002,Adventure,Sony Computer Entertainment,0.01,0.01,0.01,0.01,0.04,2020
11816,F1 2014,PS3,2014,Racing,Codemasters,0.01,0.01,0.01,0.01,0.04,2015
11817,F1 2014,PS3,2014,Racing,Codemasters,0.01,0.01,0.01,0.01,0.04,2017
11818,F1 2014,PS3,2014,Racing,Codemasters,0.01,0.01,0.01,0.01,0.04,2018
11819,F1 2014,PS3,2014,Racing,Codemasters,0.01,0.01,0.01,0.01,0.04,2021
11820,Command & Conquer: Red Alert,PS,1997,Strategy,Virgin Interactive,0.01,0.01,0.01,0.01,0.04,1998
11821,Command & Conquer: Red Alert,PS,1997,Strategy,Virgin Interactive,0.01,0.01,0.01,0.01,0.04,2003
11822,Command & Conquer: Red Alert,PS,1997,Strategy,Virgin Interactive,0.01,0.01,0.01,0.01,0.04,2012
11823,Command & Conquer: Red Alert,PS,1997,Strategy,Virgin Interactive,0.01,0.01,0.01,0.01,0.04,2018
11824,Cars: Mater-National Championship,PS3,2007,Racing,THQ,0.01,0.01,0.01,0.01,0.04,2007
11825,Cars: Mater-National Championship,PS3,2007,Racing,THQ,0.01,0.01,0.01,0.01,0.04,2016
11826,Cars: Mater-National Championship,PS3,2007,Racing,THQ,0.01,0.01,0.01,0.01,0.04,2018
11827,Call of Duty: Black Ops II,WiiU,2012,Shooter,Activision,0.01,0.01,0.01,0.01,0.04,2014
11828,Ogre Battle 64: Person of Lordly Caliber,N64,1999,Role-Playing,Nintendo,0.01,0.01,0.01,0.01,0.04,1999
11829,Ogre Battle 64: Person of Lordly Caliber,N64,1999,Role-Playing,Nintendo,0.01,0.01,0.01,0.01,0.04,2006
11830,Ogre Battle 64: Person of Lordly Caliber,N64,1999,Role-Playing,Nintendo,0.01,0.01,0.01,0.01,0.04,2010
11831,Ogre Battle 64: Person of Lordly Caliber,N64,1999,Role-Playing,Nintendo,0.01,0.01,0.01,0.01,0.04,2018
11832,Superman: The New Superman Adventures,N64,1999,Action,Titus,0.01,0.01,0.01,0.01,0.04,2005
11833,Superman: The New Superman Adventures,N64,1999,Action,Titus,0.01,0.01,0.01,0.01,0.04,2006
11834,Superman: The New Superman Adventures,N64,1999,Action,Titus,0.01,0.01,0.01,0.01,0.04,2013
11835,Dig Dug,NES,1985,Puzzle,Namco Bandai Games,0.01,0.01,0.01,0.01,0.04,1991
11836,Dig Dug,NES,1985,Puzzle,Namco Bandai Games,0.01,0.01,0.01,0.01,0.04,1997
11837,Dig Dug,NES,1985,Puzzle,Namco Bandai Games,0.01,0.01,0.01,0.01,0.04,2007
11838,Dig Dug,NES,1985,Puzzle,Namco Bandai Games,0.01,0.01,0.01,0.01,0.04,2015
11839,BioShock,PC,2007,Shooter,Take-Two Interactive,0.01,0.01,0.01,0.01,0.04,2009
11840,BioShock,PC,2007,Shooter,Take-Two Interactive,0.01,0.01,0.01,0.01,0.04,2019
